crop_type,yield_tha,till_type,ipcc_translation_crop,man_type,man_nrate,ipcc_translation_manure,crop_om_input,crop_c_input,crop_n_input,crop_lignin_input,crop_n_frac,crop_lignin_frac,man_om_input,man_c_input,man_n_input,man_lignin_input,man_n_frac,man_lignin_frac
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
Maize,10.2,reduced,maize,None,0,none,13.8475484,5.815970328000001,0.08723955492,1.523230324,0.0063,0.11,0,0,0,0,0,0
Soybean,4.33,reduced,soybean,None,0,none,6.71588701,2.8206725442000002,0.05372709608,0.5708503958500001,0.008,0.085,0,0,0,0,0,0
Winter wheat,6.92,reduced,winter_wheat,None,0,none,14.104795640000003,5.924014168800001,0.09732308991600001,0.7475541689200003,0.0069,0.05300000000000001,0,0,0,0,0,0
