ref_no,control_name,treatment_name,eq_c_stock_control_tha,eq_c_stock_treatment_tha,annual_stock_change_20y_tha,annual_stock_change_50y_tha,co2_seq_20y_tha,co2_seq_50y_tha
1,01_-leg,01_+leg,21.17426524794944,17.54540741131107,-0.033965515660962356,-0.02423718999377499,-0.12454022409019531,-0.08886969664384163
2,02_-leg,02_+leg,21.35603641514756,19.740407655537624,-0.021913924951291186,-0.007697560359708859,-0.08035105815473435,-0.028224387985599148
3,03_-leg,3_+leg1,21.318546228070094,18.445365696986453,-0.012279406860364262,-0.026956463449797356,-0.04502449182133563,-0.09884036598259031
3,03_-leg,3_+leg2,21.318546228070094,17.35166697721277,-0.047152300053902606,-0.028904558679515305,-0.17289176686430954,-0.10598338182488946
4,04_-leg,04_+leg,31.155940881593303,25.22218495725694,-0.051303456470601104,-0.0348084227854438,-0.1881126737255374,-0.12763088354662724
5,05_-leg,05_+leg,28.40757227851714,33.24443625407258,0.06106233423403591,0.03691042213596852,0.22389522552479835,0.13533821449855124
6,06_-leg,06_+leg,19.282449231806662,24.644062024422066,0.0504322213826164,0.037283779106553325,0.18491814506959348,0.13670719005736218
7,07_-leg,07_+leg,29.342724395433773,26.07239833420372,-0.013583251780391237,-0.009599715952688256,-0.0498052565281012,-0.035198958493190276
8,08_-leg,08_+leg,37.753260010832584,29.542370745591874,-0.0882467483402177,-0.05683624527934541,-0.32357141058079825,-0.20839956602426649
9,09_-leg,09_+leg,25.63902573702888,26.778258910108217,0.007643412272888561,0.005709743111523338,0.028025845000591392,0.020935724742252238
10,10_-leg,10_+leg,35.35086726169194,31.248737415781257,-0.05766718992954019,-0.035926409460690964,-0.2114463630749807,-0.13173016802253354
11,11_-leg,11_+leg,43.087269685376604,37.981150147906405,-0.07273585839738672,-0.044437369533689264,-0.26669814745708464,-0.1629370216235273
12,12_-leg,12_+leg,38.80829315334344,31.977644174749127,-0.054888221011529834,-0.060411933022486576,-0.20125681037560939,-0.22151042108245078
13,13_-leg,13_+leg,40.24243934887048,32.49560597777866,-0.0910707386099368,-0.09861364263709177,-0.33392604156976824,-0.36158335633600314
14,14_-leg,14_+leg,38.35292903544758,34.3065890782355,-0.022953333426192303,-0.017990874306105128,-0.08416222256270511,-0.06596653912238547
15a,15a_-leg,15a_+leg1,18.42820695468831,18.089341069673043,-0.011114974815643386,-0.005666079141701133,-0.040754907657359084,-0.02077562351957082
15a,15a_-leg,15a_+leg2,18.42820695468831,18.903987682524036,-0.0057540378639970415,-0.0015314183143519244,-0.02109813883465582,-0.005615200485957056
15b,15b_-leg,15b_+leg1,15.573261562872952,13.789314546716517,-0.02173308156660072,-0.012640669886313098,-0.07968796574420263,-0.046349122916481356
15b,15b_-leg,15b_+leg2,15.573261562872952,13.578040658514778,-0.023703695888326947,-0.01364474938051142,-0.08691355159053214,-0.05003074772854187
16,16_-leg,16_+leg,29.857241660045336,20.611350056705305,-0.11882250979961384,-0.09281133925119292,-0.4356825359319174,-0.3403082439210407
17,17_-leg,17_+leg1,29.84783904207587,27.150675747477493,-0.028701260417886943,-0.020581552074920993,-0.10523795486558546,-0.07546569094137696
17,17_-leg,17_+leg2,29.84783904207587,28.453140050055588,-0.004374355172709699,-0.004377516356695494,-0.016039302299935564,-0.01605089330788348
18,18_-leg,18_+leg1,70.77366092417016,77.92069505653072,0.05194951127261334,-9.084844971943084e-4,0.1904815413329156,-0.0033311098230457974
18,18_-leg,18_+leg2,70.77366092417016,62.62193151382926,-0.17373127669584462,-0.09019221025443074,-0.6370146812180969,-0.3307047709329127
18,18_-leg,18_+leg3,70.77366092417016,62.62193151382926,-0.17373127669584462,-0.09019221025443074,-0.6370146812180969,-0.3307047709329127
18,18_-leg,18_+leg4,70.77366092417016,62.539300507569024,-0.17418752266937929,-0.09058209269562355,-0.6386875831210573,-0.332134339883953
18,18_-leg,18_+leg5,70.77366092417016,30.364774645700674,-0.4380026670531677,-0.27650857430258324,-1.6060097791949481,-1.0138647724428054
18,18_-leg,18_+leg6,70.77366092417016,69.29081348525371,-0.12162481332216402,-0.0526062138925019,-0.4459576488479347,-0.19288945093917362
19,19_-leg,19_+leg1,40.00865314124757,42.60014291134868,0.038721850873755057,0.02215672577302442,0.1419801198704352,0.08124132783442288
19,19_-leg,19_+leg2,40.00865314124757,27.831730455898796,-0.07638717620314069,-0.05861091843444214,-0.2800863127448492,-0.21490670092628783
20,20_-leg,20_+leg,42.22331731653249,31.61237211487621,-0.14039089347940284,-0.0959855660425734,-0.514766609424477,-0.3519470754894358
